"fecha","hora","estadio_id","temporada_id","deporte_id"
2021/07/21,13:53:29,2,1,1
2021/08/02,13:05:53,3,1,1
2021/08/29,14:51:27,1,1,1
2021/09/30,16:41:13,3,1,1
2021/10/12,15:06:00,2,1,1
2021/11/11,14:11:15,4,1,1
2021/11/27,09:50:46,3,1,1
2021/12/14,12:18:45,3,1,1
2022/01/15,11:05:03,4,1,1
2022/01/17,14:49:57,2,1,1
2022/02/10,12:46:54,5,1,1
2022/02/12,16:04:53,2,1,1
2022/02/21,11:19:21,3,1,1
2022/03/14,12:12:17,1,1,1
2022/04/01,10:23:10,4,1,1
2022/04/19,09:03:31,4,1,1
2022/05/08,15:43:30,5,1,1
2022/06/15,17:15:19,3,1,1
2022/07/09,09:08:04,2,2,1
2022/07/28,11:43:57,3,2,1
2022/08/01,17:10:19,3,2,1
2022/08/29,12:50:25,2,2,1
2022/08/29,10:35:46,1,2,1
2022/09/14,14:26:17,5,2,1
2022/11/05,10:22:20,4,2,1
2022/12/06,10:00:20,1,2,1
2022/12/08,17:25:11,4,2,1
2022/12/28,17:15:30,5,2,1
2023/01/20,11:12:36,3,2,1
2023/02/03,09:02:24,2,2,1
2023/02/18,15:47:10,2,2,1
2023/02/19,10:09:27,3,2,1
2023/03/06,14:58:08,3,2,1
2023/05/09,11:12:57,5,2,1
2023/06/03,10:37:02,2,2,1
2023/06/22,11:28:49,2,2,1
2021/07/31,16:35:13,10,1,2
2021/09/05,13:42:09,8,1,2
2021/09/27,10:34:25,8,1,2
2021/09/30,12:22:31,10,1,2
2021/11/30,15:53:03,8,1,2
2022/01/05,14:48:09,10,1,2
2022/01/18,17:55:03,8,1,2
2022/01/27,10:13:07,7,1,2
2022/02/01,13:44:26,6,1,2
2022/02/13,09:21:51,7,1,2
2022/03/08,14:09:22,10,1,2
2022/03/13,13:23:16,9,1,2
2022/03/14,14:41:41,9,1,2
2022/05/07,15:37:06,10,1,2
2022/05/15,09:13:35,10,1,2
2022/05/19,11:06:20,8,1,2
2022/05/28,17:12:05,9,1,2
2022/06/14,09:50:56,10,1,2
2022/07/12,17:57:15,8,2,2
2022/07/12,13:19:33,6,2,2
2022/07/27,17:08:30,7,2,2
2022/07/31,17:28:24,8,2,2
2022/08/11,14:17:48,9,2,2
2022/08/31,09:14:42,10,2,2
2022/11/10,13:27:48,9,2,2
2022/12/07,16:38:53,6,2,2
2022/12/21,11:39:01,6,2,2
2023/02/05,14:20:26,10,2,2
2023/02/07,13:01:09,6,2,2
2023/03/11,16:12:29,9,2,2
2023/03/14,10:35:55,8,2,2
2023/04/07,16:54:38,7,2,2
2023/04/16,11:02:33,10,2,2
2023/05/18,15:58:54,8,2,2
2023/06/02,12:43:31,10,2,2
2023/06/16,12:53:44,6,2,2
2021/08/05,13:23:08,11,1,3
2021/08/17,09:31:58,15,1,3
2021/08/22,17:28:44,15,1,3
2021/09/01,13:53:04,13,1,3
2021/09/10,13:28:16,14,1,3
2021/11/02,14:44:21,13,1,3
2021/11/03,12:40:59,13,1,3
2021/11/06,09:07:48,14,1,3
2021/12/05,10:25:09,13,1,3
2022/01/04,17:23:36,12,1,3
2022/01/27,13:06:40,11,1,3
2022/02/07,12:49:33,14,1,3
2022/03/03,17:33:17,15,1,3
2022/03/22,17:45:12,12,1,3
2022/04/18,16:28:33,15,1,3
2022/05/15,11:29:05,11,1,3
2022/06/01,15:25:10,13,1,3
2022/06/10,12:56:39,14,1,3
2022/07/13,12:48:07,13,2,3
2022/07/27,13:35:12,11,2,3
2022/09/14,09:36:49,11,2,3
2022/10/10,16:54:21,12,2,3
2022/11/01,09:33:58,12,2,3
2022/11/01,16:17:44,14,2,3
2022/11/25,12:19:44,15,2,3
2022/12/15,15:04:08,13,2,3
2022/12/17,16:00:00,12,2,3
2022/12/23,16:43:24,11,2,3
2023/03/16,11:57:59,13,2,3
2023/03/30,17:23:47,15,2,3
2023/04/05,12:37:09,11,2,3
2023/04/14,17:25:49,15,2,3
2023/04/21,13:46:09,14,2,3
2023/05/08,10:55:06,14,2,3
2023/05/28,10:30:54,13,2,3
2023/06/04,15:51:44,11,2,3
2021/07/10,10:50:54,20,1,4
2021/07/12,14:44:22,18,1,4
2021/07/18,14:45:25,18,1,4
2021/07/22,16:36:18,16,1,4
2021/09/28,13:24:03,17,1,4
2021/10/03,15:13:51,17,1,4
2021/10/07,14:26:38,17,1,4
2021/10/24,17:43:13,20,1,4
2022/01/15,15:00:52,19,1,4
2022/02/03,09:49:28,16,1,4
2022/03/04,09:46:51,20,1,4
2022/03/20,13:52:38,19,1,4
2022/05/01,14:15:16,17,1,4
2022/05/03,11:50:19,16,1,4
2022/05/31,12:35:13,20,1,4
2022/06/12,16:16:07,20,1,4
2022/06/21,15:02:52,20,1,4
2022/06/27,16:45:36,19,1,4
2022/07/09,15:40:28,20,2,4
2022/08/09,15:09:50,17,2,4
2022/08/16,15:19:00,20,2,4
2022/09/08,11:38:44,20,2,4
2022/09/08,11:30:10,20,2,4
2022/11/19,15:02:25,16,2,4
2022/11/30,16:47:51,20,2,4
2023/01/09,16:36:05,18,2,4
2023/02/01,10:38:33,16,2,4
2023/03/01,13:52:06,17,2,4
2023/03/12,10:14:59,18,2,4
2023/03/29,17:04:06,18,2,4
2023/04/20,12:03:28,16,2,4
2023/04/27,15:09:47,16,2,4
2023/05/02,10:11:20,16,2,4
2023/05/20,10:31:59,16,2,4
2023/05/24,15:53:53,20,2,4
2023/06/17,15:49:20,18,2,4
